# Copyright (C) 1991-2015 Altera Corporation. All rights reserved.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Your use of Altera Corporation's design tools, logic functions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# and other software and tools, and its AMPP partner logic ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# functions, and any output files from any of the foregoing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# (including device programming or simulation files), and any ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# associated documentation or information are expressly subject ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# to the terms and conditions of the Altera Program License ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Subscription Agreement, the Altera Quartus II License Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# the Altera MegaCore Function License Agreement, or other ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# applicable license agreement, including, without limitation, ,,,,,,,,,,,,,,,,,,,,,,,,,,
# that your use is for the sole purpose of programming logic ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# devices manufactured by Altera and sold by Altera or its ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# authorized distributors.  Please refer to the applicable ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# agreement for further details.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Quartus II 64-Bit Version 15.0.0 Build 145 04/22/2015 SJ Full Version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# File: U:\ece385\ECE-385\Final_Project\pinPlanner.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Generated on: Wed Apr 20 13:09:00 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation,,,,,,,,,,,,,,,,,,
CLOCK_50,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,,,,,,,,,,,,,,,,,,,
DRAM_ADDR[12],Output,PIN_Y7,2,B2_N2,PIN_Y7,2.5 V,,,,,,,,,,,,,,,,,,,,,,,
DRAM_ADDR[11],Output,PIN_AA5,2,B2_N2,PIN_AA5,2.5 V,,,,,,,,,,,,,,,,,,,,,,,
DRAM_ADDR[10],Output,PIN_R5,2,B2_N0,PIN_R5,2.5 V,,,,,,,,,,,,,,,,,,,,,,,
DRAM_ADDR[9],Output,PIN_Y6,2,B2_N2,PIN_Y6,2.5 V,,,,,,,,,,,,,,,,,,,,,,,
DRAM_ADDR[8],Output,PIN_Y5,2,B2_N2,PIN_Y5,2.5 V,,,,,,,,,,,,,,,,,,,,,,,
DRAM_ADDR[7],Output,PIN_AA7,2,B2_N2,PIN_AA7,2.5 V,,,,,,,,,,,,,,,,,,,,,,,
DRAM_ADDR[6],Output,PIN_W7,2,B2_N2,PIN_W7,2.5 V,,,,,,,,,,,,,,,,,,,,,,,
DRAM_ADDR[5],Output,PIN_W8,2,B2_N2,PIN_W8,2.5 V,,,,,,,,,,,,,,,,,,,,,,,
DRAM_ADDR[4],Output,PIN_V5,2,B2_N1,PIN_V5,2.5 V,,,,,,,,,,,,,,,,,,,,,,,
DRAM_ADDR[3],Output,PIN_P1,1,B1_N2,PIN_P1,2.5 V,,,,,,,,,,,,,,,,,,,,,,,
DRAM_ADDR[2],Output,PIN_U8,2,B2_N1,PIN_U8,2.5 V,,,,,,,,,,,,,,,,,,,,,,,
DRAM_ADDR[1],Output,PIN_V8,2,B2_N1,PIN_V8,2.5 V,,,,,,,,,,,,,,,,,,,,,,,
DRAM_ADDR[0],Output,PIN_R6,2,B2_N0,PIN_R6,2.5 V,,,,,,,,,,,,,,,,,,,,,,,
DRAM_BA[1],Output,PIN_R4,2,B2_N0,PIN_R4,2.5 V,,,,,,,,,,,,,,,,,,,,,,,
DRAM_BA[0],Output,PIN_U7,2,B2_N1,PIN_U7,2.5 V,,,,,,,,,,,,,,,,,,,,,,,
